,User Name,Review,Rating,Date of Review,Sentiment
11,timotej81,"Haven't received notices for almost two months, compared to previously several notices a week. Live in a big city. Doesn't it seem reasonable that nothing should have happened for two months...??",2,04-02-2021,0
12,Vilsen jurist,"The only thing that works in the app is to call 112, which feels quite far-fetched to enter via the app instead of dialing 112?

There are NEVER any current events, although things are happening all the time.

Right now, there is an ongoing fire that is included in the other app (for workers within SOS), but this one says ""no current events"" as usual.

So what exactly should you have the app for?",1,17-01-2021,-1
13,JWL74,"Good app, now it should only be made available for the Apple Watch so you can alarm from the watch if you have the LTE model. Would be great.",5,07-02-2020,1
14,carinautter,"Doesn't work no matter what I do in the settings! Never receive any notifications despite, for example, a fire 100 m from where I live. Also, there are NEVER any ""completed events"". That such an important App doesn't work is beyond all criticism, shame on you!",1,13-10-2022,-1
15,Encryptimous,"My app tracked me 71 times in the background in 3 days. Why?
There is no reason why the 112 app should know where I am when it is not in use. The app recommends that it should be able to know location information at all times.

It's nothing but control, knowing where people are, big brother is watching you.

I deleted the app!",1,08-10-2022,-1
16,Missnöjd stamkund!,"I collided with a Moose and of course took the phone and called SOS with this app, as I was out in the middle of the forest I thought it would be good if SOS got my coordinates. But I could easily forget that. SOS didn't get any coordinates and it took at least 30 minutes before they could even figure out where I was, then it took another 40 minutes before the first rescue vehicle arrived. Luckily I was only slightly injured. I don't even dare to think what would have happened if I had had more serious injuries. Scary bad app and scary how they promise that SOS will get my coordinates when they don't.",1,09-10-2020,-1
17,Substans av dignitet,"I have enabled location services for the device in ""settings""-""privacy and security"", but the app does not appear in the list found at ""settings""-""privacy and security""-""location services"" where you can give additional instructions about when the location should be given.

For example, the app ""always open"" is in that list. For that app, I can choose to define ""never"", ""ask next time I share"", ""when using the app"" or ""always"". SOS alarms are not in the same list.

I have restarted the device but that doesn't fix the problem.

I get an error message in the SOS alarm app that ""the app only works correctly if it has access to location"". At that alert, I can press ""change"" and then I am linked to the app's settings, which can be found under ""settings""-""SOS alarm"", but even there there are no setting options related to location. There are only ""Siri and search"" ""notifications"" ""app activities in the background"" and ""mobile data""

I have checked if other apps location services work and they do. I have checked this by, among other things, starting the Badoo app with location services activated and then I get an alert where I am asked if I want to share approximate location or exact location and this in connection with a map that also shows my exact location.

at ""settings""-""privacy and security""-""location services""-""share my location info"" I get a sys modal alert stating ""Share my location info not available. Unable to connect to the server. Try again later”. I have then scrolled down to ""system services"" in the upper menu level ""location services"" and there under ""system services"" I see that ""share my location info"" is activated. The other enabled location services for system services are ""device management"" ""find my IPhone"" ""mobile network search"" ""network and wireless"" ""emergency call and SOS"". Other 12 system services location services are not activated. For example, do not want location-based notices and suggestions, seller identification, iPhone analysis and other privacy violations. However, these deactivated ones do not receive any result regarding finding my location when using maps such as Eniro, SL, Maps.Me, Kartor and Sverigetaxi.

I have unlimited data. I have internet connection.

The phone is set in Lockdown mode. Uses that setting because, among other things, it disables JIT compilation for Javascript. Bugs in the JIT are exploited by 45% of all Malware that attacks devices via a browser. I've only experienced trouble with one app before due to lock down mode and that's the Line app. Then the text message that you need to verify the number is not sent. However, I received that text message when registering in SOS Alarm. Even Instagram's automatic login by recognizing the device after reinstalling the app doesn't work, so you have to enter the password the first time you use that app. Otherwise, I don't experience any problems except that some fonts in browsers that refer to icons become squares, but this only indicates that the web developer is deplorable in that they need frameworks and Google fonts etc. so that they don't have a good grasp of what they really are has under the hood.

Under ""settings"" - ""privacy and security"" analysis and improvements"" all settings are disabled.

I am in Sweden.

ISP Tele2.

I am not connected to an Access Point ie router + switch.

I'm not connected to a VPN. VPN is under settings ""not connected"" and the program that refers to VPN is completely turned off and not started after reboot.

I haven't tested whether the SOS alarm works if you deactivate Lockdown mode because then I get Pegasus right away. A device that is in lockdown mode is probably extra interesting, so now I don't dare turn it off, even though I'm an uninteresting person.

I give one star because there is no information about the app not working in ""Lockdown mode""

A big thistle for Sweden's SOS service, which has not implemented GPS detection for regular phone calls like other countries, so you need an app instead. It is sad that Sweden has fallen so far behind in almost every technological aspect and also in areas that concern our welfare.",1,01-02-2023,-1
18,Valter Isander,"Regular notifications that something has happened, but zero is notified in the app. Type The wolf is coming. Bad.",2,08-12-2022,-1
19,Minihopp61,Replace phone (broken phone) app is there but I can't go any further - can't accept the terms - which means the app can't be used. On the previous phone it worked great. Have also deleted the app & downloaded it again - no difference,1,18-01-2023,0
20,Not a police,"Given that the app has been around for a while, there should be more information in the app, such as info about ACU test, CPR.
And that it would be possible to add the app as a widget for faster access if you now want it to be used to make it easier for you when you call",4,17-11-2022,1
21,Ovedyr,"Can someone explain why the app needs to see my location at all times? When I log in, I choose my address and then this means that I want to be notified when something happens in my area.",1,06-12-2022,1
22,Jonas69,The app is nice and simple. But it seems that they raise a bit of an alarm when they feel like it. ?,3,20-11-2022,1
23,iMan Sweden,The app does what it should but support for CarPlay would be useful!,4,24-09-2022,1
24,Mattemamnen,When is support for IOS16 coming? Location services a no longer work.,3,13-11-2022,1
25,Whisky 1961,"I get notifications, but very few e.g. then when it was full smoke around my house and the neighbor's house was in flames!?!? Then surely something should happen with the app!! Have set everything correctly with full authorization 🤔🔥👩‍🚒🚒 !?!?",4,20-06-2022,-1
26,PatrikPatrik,Basically only get notifications that there has been a fire outside 5 km away.,2,21-09-2022,-1
27,DetFunkarInteMedSmeknamnFan,"Plings to a single time sometimes, checks immediately but the app says that it is not are there any current events in my vicinity or when checking a larger area. Uninstalling now",1,20-08-2022,0
28,Bhstikjftpssjbcjud,"Had to turn off the notifications because of the traffic disturbances which (if you live in central Gothenburg) came far too often, don't want a push if someone crashes on Hisingen, I can read that in the newspaper. On the other hand, I want a push if there is a fire in the house next door. Divide the notifications and put personally selectable distances on each notification category.",2,12-08-2022,-1
29,Niklas6975,"Have been using this app for a long time and not much works! SOS sends SMS but there is no notice in the App. If you are at a traffic accident and it is stationary, there are no notifications. I hope that at some point a relatively important app will be sorted out..",1,06-08-2022,-1
30,Fisabet,"Today there was a VMA but my app didn't say anything, I heard it on the radio. It never says anything about everything that happens inside the node, even though it says in my settings that the app should work correctly with all location information etc. correctly set. . Have double checked all settings several times. Received notifications almost daily until a few months ago. The app is great when everything works and notifications are visible.",1,04-08-2022,1
31,sandratn,"No matter what I do, even the location info setting is not there to confirm, so without it the app is useless.
What is missing in the app is a chat with 112 for silence/ denigrating people.
Even if you can change the language, it shouldn't be too hard to add English, Spanish and all the major languages.",3,18-07-2022,-1
32,the weird boi,SENDING PUSHNOTES WITH A LOT OF CAPS. IT CAN BE PERCEIVED A BIT SCREAMING SOMETIMES.,1,23-06-2022,-1
33,Gufo X,"Very few events enter the app, usually you get to see things via the media but no info at all here. Bad",3,16-03-2022,-1
34,freddieb77,"It is very bad. Every time it has come up on my MOM's mobile that it is on fire, but it does NOT on mine..!",1,17-06-2022,-1
35,Minipajen,"My iPhone SE does not recognize that the 112 app needs any location service, therefore cannot grant permission in settings either via the app.

Siri, notifications, app activity in the background, and mobile data are the only ones I can give permission to.
So will not progress at all",1,03-06-2022,-1
36,vad i helvette,"For 6 months I have received a notice.
Even when I know that a fire has broken out nearby, the app does not tell me any current events.
Thanks o hello and uninstalled.",1,31-05-2022,-1
37,Mjölby10,"Instead of the generally accepted format of degrees and minutes, degrees and decimals are used. Not being able to provide a location in an understandable way can mean that a rescue effort is significantly delayed which can have devastating consequences.",1,07-05-2022,-1
38,Musse_1,It takes a huge amount of battery if you allow exact location. If you do NOT allow exact location none of the features work.,1,04-04-2022,1
39,Bananlola,Thanks for the update for older devices. Now seems to work for iPhone 5 with latest iOS again 👏,2,21-03-2022,1
40,Axxxelina,"My iPhone 6 there I never get any audible alarm signal, why? All settings are OK. When self-testing, alarm signal sounds but never in sharp mode?",4,06-01-2022,-1
41,mårtis,"Get a message to make sure you have the right settings. Since then the app cannot be opened. Maybe related to the latest update. iPhone 6, software 12.5.5.
Solved on the next update a few days later 😊",2,04-03-2022,1
42,okhyrf,"After update I can't open the app. Should work on iPhone with version 10.0 or later. I have IPhone 6 with version 12.5.5. Have deleted the app and re-uploaded, but still not working.

Thanks for the feedback, have seen that it is now working again.",5,20-01-2022,-1
43,SosFel,Not alarming.,5,20-01-2022,1
44,modärn mono,The GOS position has stopped working. Does not retrieve the GPS position despite correct setting.,1,16-01-2022,-1
45,Användare 6423,When will it work with iPhone 6?,3,29-12-2021,0
46,bngt.l,Crashes only after new update iOS 10.3.4,1,04-01-2022,0
47,Hif_0457,112 sppen no longer works after the update you did 😭 tried to download it again but it shuts down immediately,1,31-12-2021,-1
48,ann.lindberg, Can't open the app after the last update!,1,31-12-2021,0
49,Lars-M-1,After the last update the app doesn't work in my iPhone 6. The app opens for 1 second and then closes.,1,30-12-2021,0
50,Seg-m,Has iPad Air 12.5.5 and the app is now unusable,1,29-12-2021,0
51,ur kasst,"Great idea of ​​an app ! Especially if something happens and you don't know where you are.
However, I would have liked the app to open when the phone was locked and for you to enter important information about yourself. Ex. Allergies/blood type etc.",1,29-12-2021,1
52,Lennie kakao,"Three accidents later, I'm wondering if this app works or is buggy. All the traffic accidents were in my vicinity and information about them was heard on the radio. The app……nothing.",5,24-12-2021,-1
53,Sundsvallsante,Has iOS 12.5.5 and the app stopped working on both.,1,28-12-2021,-1
54,Suupergoood,Worked before but now I can't open it. Have uninstalled and downloaded again without it working,1,26-12-2021,0
55,pellemöllare,The app cannot be opened in iPhone 5 after the latest update.,1,22-12-2021,0
56,Lev-i-nuet,Should work for all of Sweden but not on iPhone 6 latest iOS 12.5.5,1,20-12-2021,0
57,gripå,Can't open after latest update. Needs to be fixed.,1,20-12-2021,0
58,Sven_08,After last update can't start app in apple6. What's wrong?,1,18-12-2021,-1
59,kundj-l,Please add flashing lights to the Alarm signal. Can help with hearing loss.,1,17-12-2021,1
60,asdg654,The app doesn't open on mobile?,4,16-12-2021,0
61,Enra!,Think you should have a tab with simple rescue instructions. Type heart/lung massage and forward side position.,1,17-12-2021,1
62,rakesson,Good but wish it was also available as carplay,4,23-11-2021,1
63,Plumberjep,"Incredibly limited radius. At the nearest kilometre, you might get an alert about a traffic accident or the like. But now it may be that it is good to find out, for example, traffic accidents well further away so that you can avoid driving there. It is not particularly useful when it pings when you pass the accident or does not ping at all. Even though the accident is not very recent. Perhaps a function where I can choose myself how large an area I want to receive information about? Otherwise the app is a good idea with coordinates and such.",4,08-11-2021,-1
64,Baldboy77,Very good and important app. But what's the point of putting in which area you want information about if you still get it from all over Sweden?,3,10-11-2021,1
65,nummelina,Have had the app for quite a while now but don't get any notifications whatsoever. Just recently there was a car accident in my area that I was notified about via Facebook where someone else got the information via the 112 app. The settings are as they should be and have reinstalled the app several times without getting any better.,4,04-08-2021,-1
66,smeknamn78,"I previously refused to activate location and have to reinstall the app to get it back in the settings menu.

Don't forget to send the location request before we are sent to settings",1,17-09-2021,-1
67,Jniden,"I don't get information from when the area of ​​traffic accidents or other events but my wife does. However, I get a lot from another part of the municipality. I have all notifications turned on and exact location.",3,16-09-2021,-1
68,Vaionixx,"To use the app, you must agree to terms that you must log in to a website to see and read what applies from time to time for use. So just when you use the app. Incredible!!! Here is the condition: You should regularly take note of the instructions and announcements provided on www.sosalarm.se and the change then applies to you as a user from the moment the announcement is entered on the website.

Comment on the comment:
What you express in the comment below is, as far as I can see, not in the terms and conditions.",2,12-09-2021,1
69,Tappad kund,"Since I downloaded the app, I have discovered how many ""outdoor fires"" occur within a radius of over 2 km from my home in central Gothenburg. Thanks for that info, but I don't need 1-5 daily notices that there is a bush on fire on the other side of the river. Please let me choose the radius I want notifications within!",1,08-09-2021,1
70,GreatGuyAndy,Didn't show my location,2,06-09-2021,0
71,siggggggge,SOS with emergency call and few coordinates is good. But sos doesn't seem to get coordinates. The app cannot report accidents or obstacles. Can't send message just tinga,1,28-08-2021,-1
72,Jonaswash,Had the app for a while and don't get current events at all. Without that page on the app is just blank :/,2,12-08-2021,-1
73,erikssonemmma,"The now mentioned 08-112, which is used by SOS-Alarm, should be entered in ""Important numbers"", where it should also be stated what it is for.",3,10-08-2021,1
74,dironi,An ICE number entered in the 112 app,4,29-07-2021,1
75,Lucasedorsson,"It being only available is Swedish is not good enough, we want english and polish.",4,29-06-2021,-1
76,Spongy Sponge Spoon,But it would be much better if you found out when the situation was over,3,23-07-2021,1
77,vonroser,"According to the app, nothing has happened where I live but it has and most of it has happened here. Deleted app as it doesn't give me anything at all 👎🏼👎🏼👎🏼👎🏼👎🏼",5,19-07-2021,0
78,Belloepo,"Gets no alerts at all - all notifications are on, can stand next to an exclamation - still removed no notifications .
I get no notifications at all - stood next to a fire the other day - others in the village got notifications but not me...",1,07-07-2021,-1
79,Krokan0112,"The app is great and clear. However, it fails to warn of nearby dangers. The building next to my house was on fire but didn't get a notification on the app. Would like to see this in the future in case you don't know there is a fire nearby.",1,18-05-2021,-1
80,(Piloten..),The app should open automatically even if you call 112 outside the app. This is how Norway's sos app 113 works.,4,19-12-2020,0
81,ScamSwe,Grtr,3,12-05-2021,0
82,penniwase,"Doesn't receive an alarm even though the app sees that I am close to events that my husband receives SMS alerts about, e.g. fires with toxic smoke. Useless app.",5,14-04-2021,-1
83,Degili01,I never get any notifications unfortunately.,1,11-04-2021,-1
84,Sb-07-,Not getting any notifications at all since December. Just ended up in a traffic accident then go in and look in the app (which is otherwise set to automatic update) but then the accident is not registered where hr happened several times now,1,10-04-2021,-1
85,varbättreförr,"Called 112 from the app twice on the same occasion in an emergency mode where I didn't know where I was but thought they would see through the app. You are forwarded to 112, which took even longer to arrive and then no one could see my location despite the correct settings. Not recommended.",1,02-04-2021,-1
86,xosna,Doesn't come up despite car theft and only nearby.,1,26-03-2021,0
87,Niclas-1967,"I don't understand this app, have to delete it!",1,13-03-2021,0
88,ida85an,Want widget so I can have it on lock screen,1,05-03-2021,1
89,Asdfcvb,Can't activate location services.,3,04-02-2021,0
90,EmmaVeronica,"Unfortunately works not location services despite several attempts and that location services are turned on in general settings. The feature doesn't even show up in the app's settings. As a result, the app is not usable as intended.",1,04-02-2021,-1
91,seni64,"Says that something has happened, but then can't get any information about what!!",2,17-01-2021,0
92,Crublf,"Version 1.0.19
Have wanted this since several versions but still in Version 1.0.19 so the option is MISSING, lowers the rating!
I miss all alarms/notifications because the app is too DISCREET!
I want to be able to choose an audio signal myself so that I notice when the app warns/alarms, and preferably different for warning versus info.",1,25-12-2020,-1
93,69 :-p,Good app if it would send out a message when current accidents happen..the newspapers are even faster to inform,1,25-12-2020,1
94,olssonp,Will this app be available in English in the future?,2,20-12-2020,0
95,Username6383,Very good app - a must on the phone. It would be great if you could see the nearest defibrillator as well.,4,12-12-2020,1
96,SnurreSpratt,"Found that the phone's battery was suddenly draining much faster than usual and found it was this app. It is NOT due to latest iOS, as my phone doesn't even support this. Of course, it is not possible to maintain the app with this potentially dangerous flaw. Uninstalled!",5,05-12-2020,-1
97,HQ55,No nearby events showing despite reinstall and “perfect settings”!,2,29-10-2020,-1
98,Appmaster10,"App doesn't work at all despite installing 3 times. Can't decide own phone number, can't press ok, the button is behind the keyboard. Another time I did not receive an SMS code. O despite all the settings was updated on October 9. Useless.",1,28-11-2020,-1
99,Knäppisen13,"Good app and good thinking with it, however, takes 20% of my battery usage daily which I can't ""afford"".",1,12-11-2020,1
100,Jaburek,Good app that unfortunately uses far too much battery in the background.,3,16-10-2020,1
101,Jånni,"The primary function of the app must be to feel sure of being found in the event of an accident in e.g. the mushroom forest, or..
How does it work when the app has drained the battery? - Not so good!!
Correct on disturbed!!!",2,28-10-2020,-1
102,Åke Malmborg,"WARNING! The app is a battery thief, go in and look under Battery settings! As long as it's under such high load, it's not on my phone anyway!",1,26-10-2020,-1
103,Maths,Catastrophe app drains the battery from the phone in half a day!,1,23-10-2020,-1
104,pluttens Ägare,"Draged AS much battery from the phone. And it's a shame that you can't send a message to SOS!
Do they think something happens and you can't call!!",1,21-10-2020,-1
105,Kakan123123,"Good and important app, but as other users have written, it eats battery! During a 24-hour period, it accounts for 35% of the battery usage! And compare this to the fact that I have music apps running for at least 8 hours per day which accounts for about 20% of the battery usage.",2,19-10-2020,1
106,Lima1975,"Latest version (1.0.15) seems to drain the battery very quickly.

Suddenly my phone started draining very quickly. Then checked the phone's power consumption and discovered that the app accounted for a very high percentage. Haven't experienced that problem with the previous versions, despite always having location information turned on.

Otherwise the app is ok.",2,16-10-2020,1
107,DW_SE,"Hi.
I can't launch the app, it crashes instantly. Should you update the OS or the app?",2,16-10-2020,0
108,Lassepelle,"Since the last update, the app eats a lot of battery! Before I was satisfied.",3,13-10-2020,1
109,fd nöjd,"Good idea but the app is completely unusable as it uses 100% CPU constantly.

You wonder how they thought you could call 112 with a dead phone.",1,14-10-2020,-1
110,Jesus Josefsson,"Draining the battery!

Great app but a super CON is that it drains the battery on the phone as it needs to be on location service to fill the function with the app.",1,14-10-2020,1
111,Bästa appen!!!,Started draining a lot of battery!,2,13-10-2020,0
112,björnbjörbeb,"Seriously, I have several apps running in the background without use them. This app is taking up 23% of my phone's battery even though I've been inside the app a handful of times since it came out.",2,10-10-2020,-1
113,Boogieman501,"Sucks up all the battery even if you have the latest os and everything is up to date, uninstalled on all devices",1,12-10-2020,-1
114,silmarillon," What is described as version history is amateurish, sharpening. Now I want to see in the history that the battery problem is solved.",1,11-10-2020,-1
115,BoAorm51,"The phone no longer works and the battery drains in no time.
When I removed the app my handset works again.
Otherwise it was a good app",1,10-10-2020,-1
116,Per i trelleborg,"The headline says it all!
Must be better to be able to call for help the normal way than running out of battery because of the 112 app",2,09-10-2020,1
117,Havetouseanickname,"Running out of battery. Had to uninstall. I don't have iOS14 installed, so it has nothing to do with it, as the app developer claims.",1,09-10-2020,0
118,Kröllll,This app did exactly what absolutely should not be done in a potential emergency. It drove the battery to the bottom! The phone was as dead as anyone needing emergency help had been. Unacceptable bug! Is there the slightest chance that you may need to contact 112 trust the good old keypad and uninstall this!,1,09-10-2020,-1
119,ertwrwrtywrytryerty,"Like the app but something seems to be wrong with the latest version (and possibly the version before that). In the last week or two my phone has been running out of battery very quickly. Today I checked which apps drain the most and 112 had eaten 33% of my battery in eight hours, just from running in background mode (with access to location data).",1,08-10-2020,-1
120,Datacarl,"After the last update, the app eats battery. Something went wrong with the update. It has never been like this before. Because it consumes so much battery, I had to delete the app. You guys have posted the same standard response to all the comments, but since I haven't updated to iOS 14, and the app still eats batteries, the problem should be in the app and not in iOS?",4,07-10-2020,-1
121,Stepmonto,"Good app but it uses a lot of power. According to the battery status in the phone, the app uses about 35% of the battery during 24 hours.",1,08-10-2020,1
122,Tobbe G,"As others have already written: the app has started to draw a lot of battery, it was not a problem before. Deleting the app for the time being.",4,03-10-2020,1
123,Knto&Kno,"Almost never get a crash notification anymore. I did get one today but my sister didn't get one, the accident was pretty much in the middle of our homes",1,07-10-2020,1
124,Olinen75,This app is draining the battery on my iPhone. How smart is it for an app that should work in emergency situations?,1,06-10-2020,0
125,1234567890-/*+=,Drains a lot of battery. 30% of today's consumption is the sos app alone. Fix!!,1,06-10-2020,-1
126,Hepsnastian,"Pulls out the battery. Better to have power left in the battery in case something happens, than to have an app on a dead mobile.",3,06-10-2020,-1
127,levelrebel,Finally figured out why I woke up several days with a nearly dead phone. Prioritizes being able to call so now location services are turned off and the next step will probably be to uninstall the app if no update to the app comes soon that fixes this problem.,2,06-10-2020,-1
128,sven3567,In the latest versions of the app it has started to drain a lot of battery because location information is always running in the background. That has not been the case before. I've set it to only use positioning when the app is running but then it loses almost all of its functionality. Please fix this.,1,05-10-2020,0
129,MagrothJ,The app takes a lot of battery time when it is constantly updating.,2,03-10-2020,0
130,Lintrup99,The app has started using a lot of battery in the background in the last week (up to 15%). What has happened? Before it was used about 1%.,2,03-10-2020,0
131,muff711,"Like many others, I now have problems with the app using too much battery. I have therefore uninstalled for now.",2,03-10-2020,-1
132,ZkilfinG,"All of a sudden the app has started drawing a lot of power. Have location services ""forever"" and never had a problem before. But now something has changed. Have two phones and both have the same problem. SOS Ab, investigate.",2,03-10-2020,-1
133,ClaesT,"Very good app, the only problem is that it is on constantly as it should always have one's location service. Which results in the battery being discharged to 50% overnight.",2,02-10-2020,1
134,linkann,"Almost never get any info about events.
Latest is in March..",2,02-10-2020,0
135,Greatersereghhhh,"Having the 112 app installed is a security risk.
On several occasions recently I have been surprised by the phone shutting down due to low battery.
Yesterday I uninstalled 112, during the whole day today the battery capacity has dropped to 96%.
So it wasn't wrong with my battery.
Damn lousy of an app that is meant to be helpful in an emergency situation.",1,02-10-2020,-1
136,UrbanSigurdErikLudvigTore,For some time now the app has been eating battery on iOS so unfortunately it expired now 😟,1,02-10-2020,-1
137,fkekfkfkdk,"Great app it has been, until now!
Latest version perfection butchers battery life. In the last 24 hours since this version came out, I have to charge very often and SOS eats between 43-45% of the battery capacity in the background! (So ​​with the app turned off)
You have made a hotfix you say. Hurry up and do another one focusing on something else please.",1,02-10-2020,1
138,J a g v e t,"The concept is good and the app as such works, but even if you never open the app it drains a lot of battery. The Battery app reports that this app consumes between 30-40 percent of my daily total consumption. Totally unacceptable.",1,02-10-2020,-1
139,Tjita1,"Guzzling hysterical amounts of battery lately. Otherwise, a good app if you correct this immediately, because right now I don't dare to have it running in the background.",1,01-10-2020,1
140,MmmmStranne,Very good app!,4,25-09-2020,1
141,Sebbo176,"After the last update, the app has started to eat battery. Have drained the battery completely 2 days in a row",5,29-09-2020,-1
142,Tobiaz75,"If you alarm with the iPhone's built-in function, in addition to the position, the medical ID is also sent. So why use this app? And got annoyed that the battery was draining fast after the last update.",1,26-09-2020,-1
143,losJugglos,"After the last update the app is eating battery, so thank you bye",2,26-09-2020,1
144,W0LF4R1,After the last update it has become a battery eater if background refresh is allowed.,1,26-09-2020,0
145,Rolf Kemupp,"The last few days my battery has been draining at record speed, Empty. in airplane mode during the night. Therefore, I have had to turn off location services when the app is not in use. (What good are location services when the phone is dead anyway?) It wasn't like this before the last update. Redo, do right!",3,22-09-2020,-1
146,Anaurora78,"This morning I had 3% left in the battery, which was fully charged yesterday. A check of the statistics showed that this app was constantly running in the background during the night, to almost 0%.",1,25-09-2020,-1
147,Lelle Kidd,"Recently I have not been able to cope with a normal day on a full charge, checked the battery health which was good (97%) since the list of heavy users and this app is by a large margin the biggest consumer!!! 33% due to background space and the runner-up uses 16%. Crazy!! Fix this please!",1,24-09-2020,1
148,DrLove76,"Good app, but according to my iPhone's (SE 2) battery usage page, it is by far the most draining app in the background.",2,23-09-2020,1
149,xxAndyCxx,"The app has started draining my battery.
Don't know if it's the app's fault or Apple's.
Or something else. Good app, but have you guys stopped giving out information? Has been quiet since spring despite full of blue lights in the area.",3,21-09-2020,1
150,Auditor7,"I do not intend to allow GPS positioning or give out my phone number, that is my private privacy policy. Therefore missing the possibility to manually set which areas I want notifications for. This would also have the advantage of being able to receive notifications for several areas at the same time, such as for example me in Stockholm and my demented mother in Norrland. The crisis information app has this possibility.",2,21-09-2020,-1
151,KrashLander1337,"Since a few months ago, I no longer receive any notifications about events in the immediate area. Feels like the app has lost its function.",3,16-08-2020,-1
152,TheRealZwaa,"The one next to me got information about a crash but mine doesn't want to show anything. Have the same settings and the program is updated.

You should be able to choose the radius yourself",1,21-09-2020,-1
153,LondonRiver,"Never get any information, read the news instead",1,19-09-2020,0
154,Iphone Crysie,"Unable to announce major operations, accidents and local VMA when the app is running in the background.",1,10-09-2020,-1
155,Ask_72,In the case of several fires in the immediate area that have been confirmed via contact with SOS Alarm so no information about the incident has been communicated via the app.,1,04-09-2020,-1
156,Nomsmoms,"Be the first on the scene at a traffic accident. Called 112 via the app and didn't have to give the location, just confirmed to them. Takes a lot of the stress out of explaining where you are.",2,01-09-2020,-1
157,Ulf08,"The position is not to be trusted. It shows neighbors houses and doesn't quite find the right position. If the app is to fulfill its purpose, it must be updated and dot the right place.",1,29-08-2020,1
158,Fredrik.P.A,Works well. But it would be great if you included e.g. Fire ban in my area.,5,15-08-2020,-1
159,axenryd,"Totally worthless, had very much higher expectations for the app, in my eyes it could be someone learning to program who did this, but guess money comes into play as usual, cheapest bid...

Meh, won't email any support and tell them everything, have other things to do...",1,06-08-2020,-1
160,Muraren66,Doesn't work in Småland maybe is too much like Stockholm completely useless,4,21-06-2020,-1
161,John Dooe,"Good. But the app often loses its function regarding traffic accidents, because the radius is too small, so you often get the notification when you have already ended up in the queue at the scene of the accident. I would like you to be able to choose how large a radius you want to search for information about. Then you could plan your route in time, before you end up in the queue.",1,01-08-2020,-1
162,hjäip,"Despite the app being updated and notifications activated, I don't get any current events or notifications",1,01-08-2020,0
163,Sweetcicci,Totally useless as I never get events even if others do,3,26-07-2020,-1
164,ajdan01,"Would like be able to enter numbers for relatives.
At the same time as alerting the sos, text messages should also be forwarded to entered ""relative numbers""",1,18-07-2020,1
165,Nanoh8,"Informs quickly about important events, feels safe to have on the phone.",1,12-07-2020,1
166,..u7t2.!?(kr/,"Had the ""opportunity"" today to use the app to contact 112 when a person fell badly and hit himself so the blood spurted. I describe the area we are in. The operator then asks, ""Yes, but which city"". The reason why I called via the app was precisely that my position would be shown exactly instead of using the normal phone.

Now there was absolutely no danger to life this time and that I showed exactly where we were. But if you are out in traffic on a long journey, one's position can be much more diffuse to describe.

You should probably test this to a greater extent!
Have an iPhone 6a",3,12-07-2020,1
167,alex_swe,"As many others have pointed out, the option with a widget is desired. Mainly so that the children can easily call in an emergency.",5,01-07-2020,1
168,Stickan77,It doesn't seem to work with automatic updates. Found out I had an old version when I got a reminder to update. All other apps update automatically but not the 112 app.,4,18-06-2020,0
