User Name,Review,Rating,Date of Review,Review Id,reviewCreatedVersion
Geoff Allen,"Great system, easy to use.",5,11-03-2022,571a3153-ecc3-41f1-9b7f-6a68ad8089fb,2.26
William Rogers,A must have for all,5,09-03-2022,c678e04b-8e3b-4cfa-82a5-3b177746e80b,2.26
Julie Dafkovski,"Great app spot on for locations, it is really good to have",5,27-02-2022,4a906164-4c26-46ef-be20-9d994a12e0df,2.26
John Hyland,"Great and simple app, but accessibility is poor. It would be vastly better for older folk (or the vision impaired) if the required information wasn't in tiny text that's hard to read. It wastes a lot of screen space that could be better used.",3,27-02-2022,aad4aa57-26be-41be-99ea-b7debfb4e42d,2.26
claudia morey (Cc),Good to use easy to connect with people,4,20-02-2022,510d14d4-278c-4597-9485-54ca07c0f7ea,2.26
Karen Kuhn,Love this app as you can provide a precise location if required. One thing that could make this more useful would be the ability to put a widget on your lock screen to allow instant access if needed similar to the emergency call option on lock screens. I have a medical app that provides my medical history etc and the widget gives instant access to my information in an emergency without having to unlock my phone.,5,15-02-2022,21de1f89-b739-47fa-bf87-c9a8caa698a6,2.26
C I Bennett,"This is an app everybody should have on their phone. For the average, untrained person, it can be extremely difficult to think rationally in an extreme emergency due to adrenaline coursing through your system that often leads to panic. Giving information such as your whereabouts if you are in an unfamiliar place can make things worse. This app can lessen that sense of panic by giving you everything you need at your fingertips and if you don't know where you are what3words is just brilliant.",5,02-02-2022,3ab7c528-a19b-4e0f-a545-49fecaaf4b66,2.26
NZIYUMVIRA Sylvestre,Good,5,29-01-2022,eb39b327-47d5-4847-a3ff-ebddefe5ef09,2.26
JAY ST,Incredible life savings tech,5,21-01-2022,061acfce-88e7-43c8-b244-04eac1275367,2.26
Gaz Ang,"It has got my address wrong, it thinks I live at 157 which is actually the 2 duplex dwellings behind me, I live at 159. There is no way to change this?? My wife or I could be dead by the time the emergency services find us?",3,20-12-2021,5e845020-f50e-4d05-8b9c-9e67daa08c0d,2.26
Gérard DECOTTIGNIES,Very comprehensive and very easy to use.,5,16-12-2021,a30b8747-59af-4e10-86a0-1147657b010a,2.26
Stephen Fletcher,"App doesn't show my position (as indicated in app preview). Location is selected ""On"". Any thoughts or suggestion from anyone. Cheers",2,13-12-2021,0755d8d1-6fd3-400e-a427-627a24c864b2,2.26
Mick Newman,This is a great app but it needs to have the ability to be used on a phone that is locked with a password so a child can ring for help,5,25-11-2021,1d6938c8-5aad-4483-b369-cd6a59af9ff5,2.26
Sholto Jones,Just call 000 actually tried to use this app during an emergency and it didn't work. I ended up calling 000,1,11-11-2021,f47523ae-27f5-4dc0-a64f-7234dbf75c37,2.26
Mick I am,"The concept of this app is sound and useful, however it's very hard to read for those who have less than ideal eyesight. Surely this must be obvious? An emergency app. is for everyone, not just for those with perfect vision! Get with it!",3,11-11-2021,4d68e8be-a1ee-4520-aa09-8bb75d812471,2.26
Alana Walsh,App is recommended by Australia Wide First Aid... gives your exact location when talking to required emergency,5,30-10-2021,5ecc9182-bc92-4e7d-a19c-b6abb968f96a,2.26
David ',"Please change the map/location functionality so that one tap anywhere on the lower half of the screen immediately makes it full screen with large text. At the moment it requires two taps to do this which hardly anyone is going to know. Also add large text ""Tap here for location information"". Great app otherwise.",4,28-10-2021,302334f3-8532-4a8b-bfbc-1e32bf51e541,2.26
Peter Sibilant,"Location map is utterly broken and therefore pointless, and dangerous to rely upon. Just use Google Maps and share your location with a friend via SMS if you're lost.",4,26-10-2021,d93b23d8-6b7c-4a50-8d7d-224e755a029f,2.26
J S (Jewlzzz),I can't copy my long-lat or what3words to a text message. Please allow/ encourage copy for this. Data takes less power and signal.,4,25-10-2021,42a42cd6-a8bf-40fe-9676-33bc3dc891d9,2.26
bruce heather,On a Samsung Galaxy there are already 3 apps that are Orange. This important app should be perhaps red and blue so it stands out on screen.,5,14-10-2021,093ccd95-c37a-4a3e-b89c-0897d5344d84,2.26
That_one_air_guy Pro Youtuber,I havent used it yet... but it looks cool,5,09-10-2021,cc9f6a77-54e4-407b-851e-64d7a65d0a51,2.26
Lyndy L,Essential App gives your precise location for Emergency Services personnel to come right to your side. Amazing precision and vitally important when out Bushwalking and in areas of dense scrub.,5,20-09-2021,29bb2c42-48ac-461d-aeef-558214253ecd,2.26
broni White,I was recently teaching at a school and a student asked me if they had no credit on there phone does this app still work.,5,14-09-2021,c805b904-ef3e-46b8-8605-5a9f2919268e,2.26
wayne Brady,What three words will save your life allowing emergency services to locate you quickly,5,13-09-2021,456d96f4-de65-4d9e-8668-3cb9654db981,2.26
Bobndi Wyllie,Works as it should. Thanks.,5,08-09-2021,cf6fbcf6-a5c5-44ec-aba0-32051c67dd3d,2.26
Tony Ashton,"Twice I have pocket dialled Triple Zero presumably with this app. This is a problem. If I hadn't noticed, the Triple Zero worker would be concerned",3,03-09-2021,9db24fb2-1e85-45e0-8d65-f25c1221d426,2.26
Andrew W,Look good so far,5,31-08-2021,3a0ca467-9437-4518-97fc-1ec6e0c06097,2.26
Sam Fiffer,This is a great app but is there some way of getting the 3 words other than using your gps location. I would like to add the three word for location to evacuation plans.,5,30-08-2021,db0cc101-f375-4551-adf9-19b03b0da083,2.26
McKenzie Therapy & Training,This app is like my former girlfriend's clit....goes off at the slightest touch 😳😃...accidentally sending alerts often,1,17-08-2021,6b081bb9-734c-4f18-a373-2fc127f884e2,2.26
Just Me Drop in,Good idea. Hope i never need to use it.,5,10-08-2021,dbec0e48-372e-48ec-a9c5-58982003f6a7,2.26
Julie Petersen,"Unable to alter address, picks up the house behind mine and not my home, so useless for me",1,08-08-2021,219e0c3e-b49d-4b45-a62e-57c78d9a46ba,2.26
John Burton,"GPS detects next door address as My Location, cannot adjust. No good in an emergency!!",3,03-08-2021,a86b3e86-9bbd-45ac-8935-e9990cb04898,2.26
Dave Rawlins,Not really sure how to rate this as I've never had to use it,4,13-07-2021,13b9545a-e15c-4b60-98a0-52972906416b,2.26
Diana Gibson,"Sorry, not happy Jan. what3words is a confusing addition to what was a user-friendly app - since usurping my Emergency+, I have not had a correct street address reflected and I now live about a kilometer away at the entrance to the dog-walking park instead of at an address, with actual Unit #, that used to be reflected. The 3 words applicable to my life vary from front to back door and indeed upstairs to downstairs. Now not confident that the authorities would find me in an emergency.",1,05-07-2021,6e9f8d0b-efeb-4351-a26e-89b351310471,2.26
Kirsty S (Kirst),Everyone needs this! Used when I came across a vehicle that had hit a poll at night. Was alone in the dark in a rural area and I could tell emergency services where I was. Everyone needs this app,5,03-07-2021,8f7ec732-6983-487b-9335-3f76103e8ae1,2.26
WILLIAM,"Best App, all my Family has it.",5,27-06-2021,2134d19e-4a38-4eb4-8d33-0a3934b8394b,2.26
Denis Smithson,Great app get it ready for when you need it.,5,24-06-2021,443b5e3b-7a19-4d7a-b9af-96148ccae81d,2.26
Benjamin Quilliam,"Good start. You need to add a share button to copy the what3words location, or to automatically share with a person ( via messenger or WhatsApp for example) or even share directly to emergency services. As well, add a live tracking service so that when we are out by ourselves we can share realtime location with a friend. Also have it so it alerts the friend with a notification after X minutes of not moving. Let the tracked user set how many mins of standing still before alert is sent.",3,18-06-2021,e82aab87-5c86-4af0-a690-3c3576cd55c7,2.26
Bryan Mower,"Sitting in Birdsville, the app told me I was in Alice Springs Genius Uninstall",1,15-06-2021,177550ed-c65c-496a-b85d-0ef9fca47c3b,2.26
Hardcastle,Cool,5,01-06-2021,f9eb93f0-ba5e-4e43-ad4e-34d0c0fc09f9,2.26
Trevor Wuoti,I hope it works when needed..,4,23-05-2021,66aadfce-b9b9-4239-91f4-6fa8ac35d1ca,2.26
Stewart Wilson,"Not the smartest design for what is supposed to be an emergency app. For one, and probably most importantly it should 'force start' location services (GPS) rather then relying on user activation. A kid may not know how to do this, or become confused. What3words is a joke. Fine if you speak fluent English, but not everyone does. Why couldn't a system of 2 letters and one number have been implemented instead, such as A3E. Cleary readable and pronounceable by everyone.",2,19-05-2021,6ee7ac2c-90a1-4197-b8ca-50944f9d63cc,2.26
Fay Katthagen,Need to put correct address 7 Waterbrook Close Idalia,4,16-05-2021,45a6ca09-3c86-44f1-b9ee-9009ba40ceea,2.26
peter greenham,Not accurate with location! At least a minimum of one street away!,2,09-05-2021,e7518cbb-434b-4396-8011-0630222872ce,2.26
Dazza Morris,Awesome app emergency services helps pinpoint your location by three words marking system easy to repeat over the phone. Just wait upto 30 seconds for it to work the GPS. It gives location without cell connection.,5,19-04-2021,376bb8bd-3878-4c79-895d-4da68038fdfa,2.26
Simon Victory,"Integrating W3W isn't a crash hot idea. It's literally a proprietary system. Plus codes would have been smarter, conforms more with the Digital Service Standard (due to it being open source) and relies less on people being fluent in English. Not just me though, reading some of the other reviews complaining about the different words appearing suggesting better word combinations, but that's now something that the devs now have zero control over.",2,08-04-2021,acdc8829-e33c-46f4-9b07-349e81f141f0,2.26
TJ,So useful. Has all the information you need and couldn't make assisting in an emergency easier!,5,08-04-2021,b03bc483-d585-40a5-a999-ab2375604f5c,2.26
Ranes Nagaretnam,Great app,5,05-04-2021,ca84a74a-0c52-468d-bbb1-095f3eed2e1b,2.26
J S,The location was responsive and accurate,5,27-03-2021,863b1e6d-9b59-44fb-a2f5-5c6c8807e148,2.26
geoff campbell,Great app,5,23-03-2021,12636092-6018-45ab-b03d-1716030c8d85,2.26
Jim Doherty,Brilliant,5,10-03-2021,5379d36e-fc52-458b-9d3d-6cc106024056,2.26
Dawn and Graeme Brady,Appears to be good. I haven't tested it in an actual emergency yet but it got my address right which is a good start.,5,01-03-2021,20050b03-0315-479c-b691-445b13353e68,2.26
Nyree Maffei,"Upon opening the app for the first time it had me located across the street at my neighbours house but I closed and opened again and the location was correct so all good. My concern would be the words used, I watched a few times and some of the words I felt may be too hard to pronounce for some people, so maybe an update could keep words under maybe 5 letters. Otherwise, what a brilliant app :)",4,01-03-2021,11dbc2f2-97b5-42d2-920f-569c1f3d5b13,2.26
Patrick Hudson,Transmitted SOS signal to my contact several times without me operating it!!,3,24-02-2021,993bd0d9-4fd4-46aa-809e-f9b9e78245f3,1.26
Dave Curry,My location spot on. Hope I don't have to use it !,5,23-02-2021,6557b989-7c4a-47c1-b832-cd8d8e23e383,2.26
Sylvia Fairhurst,"The concept is great, but location details are incorrect & a few years out of date. My address dosent exist on this app at all. Until the app is updated, it's useless for Emergency services &clients",1,17-02-2021,e0e69f2e-d2f7-4a5d-8470-aefb5c80da78,2.26
Kim Fawcett,"I've just downloaded the app and it has located me in the wrong place at the other end of the street I live on. Not sure if that is normal, but not encouraging.",2,08-02-2021,d16a992f-927c-4ed1-82fc-e993cda2b6f9,2.26
Tony Haigh,Helpful,5,08-02-2021,7b3aac96-b692-4bff-b76c-c90194c8bab5,2.26
Irene D,"ALL FONTS NEED TO BE MUCH, MUCH, MUCH LARGER. I need glasses to read, but in an emergency may not have them or be able to reach them. The app doesn't allow ""pinching"" the screen to make the print larger. The screen desperately needs to be rearranged so that the info is MUCH MUCH LARGER",1,06-02-2021,905c718a-6c5e-4b69-9574-7e3d6e25faf0,2.26
Justin Bussell,Location is inaccurate. I refreshed it three times and it gave me different addresses,2,06-02-2021,6bbc078b-ea5b-40b1-a5ff-0d7c4b02f234,2.26
Susan ENNIS,Love the program but was unable to install on this telephone following issue with Google play,1,05-02-2021,d109cc15-33c9-46f4-b8dc-6594c75392cd,2.26
Cheryl Pearson,Saved my life,5,31-01-2021,b8a5d075-86df-4831-8b50-84899036e230,1.14
Peter Greig,"Never had to use it yet, but like the idea",5,30-01-2021,67268bb6-ae68-41dc-a25a-dadd76ebc103,2.26
John Brydon,Great app but the latitude and longitude numbers are too small for some visual situations. How about displaying large numbers if you tap on them ?,4,29-01-2021,ae848dbe-230d-417b-90cc-34d0046f1272,2.26
Rick igloo,maybe one day we would be able to send a SMS emergency alert ??,5,26-01-2021,5a51353e-4f7a-4d3f-a3ae-eeb9ab512852,2.26
Ceci A,"Love the concept, haven't use this in emergency but i think the 3 word concept could be improved to be more inclusive for people with visual disability or non english speaking people...or if you are about to pass out. Say maybe press a button to send a location signal or it reads out the 3 words for the caller.",4,20-01-2021,01431057-ab8e-41ac-8963-b80d811653d6,2.26
Ingolf Schmacke,All and everybody's must have,5,19-01-2021,bb82cd2c-5661-4bb1-b48b-0bffa42ba96e,2.26
Nat L,"Unfortunately, the location is way off. It continues to pin point me on the other side of town which would be a huge problem if it were an actual emergency. The concept is good though, the app itself is very responsive and easy to understand.",3,17-01-2021,be34c006-c40d-4b06-8dfb-dbcc1cc7ccce,2.26
Cameron McKenzie,"Downloaded to consider as an option for an elderly relative in a remote location who may need to call ambulance. Unfortunately, text size defaults are difficult to see and not clear if it can be changed... highly recommend updating to improve usability for sight challenged users and other user groups who could struggle with the interface. We will print what3words co-ordinate for our relatives property and put in their wallet and on their fridge, but not ideal if they are moving around.",2,16-01-2021,98e8a282-97a6-4145-8e4f-8c53f1defe70,2.26
cockneydoll,My husband had a need to call and ambulance. The app did everything it's listed to do and performed well.,5,15-01-2021,8a630a84-a226-4eb3-ae7c-e4d0e7151757,2.26
Ken Oliver,"I assumed it would AUTOMATICALLY SMS location to the operator. This is trivially easy to program. Instead it asks you to verbally relay it, with huge opportunity for errors and delay. Useless.",1,13-01-2021,f76d9ac2-ecc8-41c7-b086-41f3321c0ab0,2.26
hayley Neale,"It's putting in my wrong home address while I am at home ,how can U fix this ?",2,13-01-2021,9e2567ee-19d2-473e-834a-4280750f4184,2.26
Cliff Bower,Fortunately I have not had to use this app. However it looks exactly what I would need should the occasion arise.,5,09-01-2021,df8ab3e3-442f-4116-a61c-9bc670ae7293,2.26
Didi Jaeche,Without having actually used it in an emergency ...initially it located me next door but after going back and forth between location and home ( where I was) on the app it adjusted to the correct address. I particularly liked being able to put the location display on large writing. When I wear sunglasses I can only read large print. Also good to press just one button.,5,05-01-2021,fe9f5f0b-a4c0-462f-ad52-f4d5ecb56bc4,2.26
Greg Conn,"Unfortunately this app puts me 7 houses away from my correct location, and there is no way to correct this ,that I can see. Not good enough for an emergency situation. Ill tell emergency my 3 words from that app myself.",2,02-01-2021,53da4b6e-95f7-406b-9972-37d661a69495,2.26
prepressguy from Australia,"It works well for me. Address is spot on each time I check. Thankfully I didn't need to use it for real emergency yet, but it's easy to use and could be very helpful. Thank you",5,29-12-2020,47ee57c4-8a02-440f-ad50-c77a020a54f5,2.26
Jim Filmer,"Location on map appears correct, but address (street number) is incorrect - the inconsistency makes one wonder how this may impact on timely emergency services response in an emergency.",3,23-12-2020,b4c84741-db42-4026-89de-b0b5876ba859,2.26
Sean Austin-Eames,Thanks to the team at the National Triple Zero Awareness Work Group for updating the app. It is now working very well on my phone. Hope I don't have to use it.,5,21-12-2020,2cd9c99b-3712-4716-a61e-fea1d4fedea5,2.26
Kevin Nolan,Ever since this app was updated it is now giving incorrect addresses. It is telling me that I'm at 36 when I'm at 47. When I was in a different area it was telling me I was at number 5 when I was at 25 that is a big difference. Not very good if you do not know where you are and need help. You need to look into this and make it more accurate it's not only on this advice it was on two other advice .,3,18-12-2020,8f1dec38-5d34-4735-a39d-1b7a342ceb03,2.26
steven J maley,Excellent,5,17-12-2020,686b575c-8ec7-4653-b32b-1f09277e4c63,2.26
raymond hedland,Coast guard not on list for darwin...,3,14-12-2020,df7962db-aaa0-4788-9486-764c2ae26b75,2.26
Chookyblue,So disappointed in the complete change of the logo. Been trying to get people on board and now it looks like a different app. Was so easy to tell people what the old logo looked like. Also had thought the what the words was spam advertising until someone said you can say the words. Who knew about that. More education required.,1,12-12-2020,e9a420d0-a181-4805-b600-44ceda5e07c0,2.26
Nikki Andjazz,This app now wants my location turned on all the time which I do not want to do so I have decided to uninstall it.,2,10-12-2020,a38106cc-bccf-43b7-9c09-5ff28367fd77,2.26
Bio Diversity Needed Cultural Diversity Save EARTH,A MUST HAVE for Everybody. Automatically sends your Location to Emergengy Services when it really counts. Saves Lives. 🥰,5,09-12-2020,6c9347a7-5d54-489a-88ee-87618b6e3f3d,2.23
Daren Forrester,Excellent,5,08-12-2020,f8a6969d-f1a7-4719-a591-4a2c38d3f732,2.26
Keith Pye,"Can't really rate this app, updated it n now I can't find this app's icon on my home page",3,04-12-2020,31abde0e-32c3-4f6a-a07b-d06ede034518,2.26
Ross Beale,Great idea.,5,03-12-2020,7d27b5c7-b43a-4599-97de-7f47605eb810,2.26
Brú P,Much better and thanks for listening to my queries.,5,02-12-2020,9ebaffc7-f8d5-4b8e-ba4b-4ae435f53bed,2.24
jan barkla,Before this app was upgraded I had no trouble with it but now it won't open on my phone a Samsung 6. I think it is a very important app and it is very frustrating that I can't get it to work.,1,02-12-2020,a16e40df-daa1-44f6-a02b-f33d36032538,2.24
Ron Vriens,"It was brilliant but since the latest update will not open. Samsung Galaxy S6, android 7. Uninstalled and reinstalled the latest 23 Nov version. Still will not open",1,01-12-2020,fe00ef16-ac4f-457d-9d5d-ae8cbbd9a446,2.24
Ann Scotten,My location address is wrong!,2,01-12-2020,69786358-5c3a-4f13-a1d3-c0416ae8b1c6,2.24
Scott Barnard,Text is pretty small by default. I don't think my parents would be able to use it without their glasses.,2,30-11-2020,7ccda8de-4dea-4fdd-927b-00cda54ec7d0,2.24
Allan Hobbs,This app fails to operate on samsung s5 and s7 mobiles. I am posting this from a Samsung a9 which works fine. Thank you for attending promptly to the issue.,4,27-11-2020,11fe01ab-6889-4e87-b7b3-54af08b12a4e,2.23
Paul Johnson,"This app is excellent and it is totally free. Congratulations to the developers for all the effort they put into making this a great experience and reassuring the public of quick responses from a great variety of emergency services available in the app. Thanking you kindly, Paul.",5,27-11-2020,f139e9f8-6f78-41c1-8a6b-57f3cabdcd2b,2.24
Roman Blazak,"It shows the property next door, why does it not show my property?",4,26-11-2020,da3779ec-9468-4969-a5d6-306023d11ca6,2.23
Grahame Smith,"Updated version (2.24) now works fine. Thanks for the update The app is an important one that I think everyone should have on their phone. Previously I wrote ""I have a Nexus 6P phone running Android 8.1. The old version of the app worked fine but the updated version says ""Emergency Plus has stopped"" I have uninstalled and reinstalled several times but to no avail. The app is a good app and I would like to see it work on my phone again or have some way of rolling back to the previous working version.""",5,26-11-2020,6eaa0237-fc95-4ea5-85ba-bebaa80bb7c8,2.24
Gregory Wayne Blomley (Gregles),Spot on,5,25-11-2020,3d85d291-e310-432e-8d14-4687f0d915f0,2.24
Peter Drain,"Still keeps closing on my galaxy s7. I've uninstalled & reinstalled it & restarted phone, but still doesn't work",1,24-11-2020,a809ea0d-fe51-408f-a675-5383ba15607b,2.23
Graeme Plant,"I am getting the ""stopped working"" message on my Galaxy S6. Reinstalling had no effect.",1,24-11-2020,c03e928e-cb1c-4314-8257-537565c5120f,2.23
Andrew Sweeney,"Love this app, BUT I just moved to a new phone on on Android 10and now app crashes immediately on opening.",3,24-11-2020,c0437ec6-6c2b-4b64-a635-b996934218e0,2.23
Denice Conyard,My location is showing as the cul-de-sac behind my place and not my address so there should be the ability to change.,3,21-11-2020,02e56720-b539-465e-8d82-ba3c9e5258df,2.23
James Mackness,"Map base incorrectly labelling addresses of properties. Otherwise looks like a great idea, but hard to give it a good rating if it will potentially send emergency services to the incorrect address.",1,20-11-2020,4003ebcc-028c-415d-b71e-ce9e29d39c3f,2.23
Steve Boak,"Looks like a useful app, but missing a vital warning - nowhere does it warn that it cannot call 000 if there is no phone signal. Also, the colour scheme of the disclaimer makes it just about impossible to read.",4,20-11-2020,692c3063-9353-4ad5-b644-68e2ab35d7b2,2.23
A & J,"Can we get the original app back please, it was great and worked perfectly every time. At the very least change the app colour back to something that stands out, not an orange colour that blends in with every other Google app out there....",2,20-11-2020,f89be9a6-d9da-4afa-af3d-88285947f3ff,2.23
