User Name,Review,Rating,Date of Review,Review Id,reviewCreatedVersion
Simo J.,"In version 2.0.4 background activity and with this the battery usage has gone wild according to the battery usage view of the phone settings. And the application's settings still cannot prohibit the use of background tracking for official announcements, so the application cannot be used to locate emergency calls only in the background of the call.

In addition, danger information experiments have not been received even once, so doubts arise about their operation in real situations.

When asking for location permission, the explanation is incomplete, because location during calls is not mentioned. This should be the most important function of the application, so there is a risk that users will not pay attention to this and will only allow positioning when using the application.",2,2019-10-12,,
Miika.,Takes up too much battery in the background,2,2019-10-12,,
r638399374839292,"Never needed to use it, but now two days it has consumed a considerable amount of battery. I haven't opened the application on either occasion, and between times I must have closed all applications, including 112. Also, I restarted the phone",1,2019-10-12,,
Karppal,"I deleted the app when the battery drains. During the night, the application has been running in the background for more than 12 hours and used 51% of the battery alone. There's no use in having an emergency call app that causes you to run out of battery power to call in an emergency.",1,2019-10-12,,
hhenuliini,"This is the kind of app that I can recommend to everyone and I especially recommend that parents download it for their own children! I myself have (unfortunately) had to use this in the event of a work accident and this application pinpointed the location very accurately. I wouldn't have remembered the address myself in that situation and I wouldn't even have been able to check it anywhere because of my physical incapacity, but thanks to this application, the personal information was loaded automatically and the ambulance found the place quickly. Thank you!",5,2018-11-23,,
Aina soi,"Good app and you can find a lot of information that you might need at some point. One star goes to the fact that I get traffic reports from different parts of Finland, even if it is selected in the settings: no traffic reports.",4,2021-09-14,,
Daily user moving to vimeo,"Apparently intended only for the owner of the latest model phone. Or how do I know if this program works as it should when I have an iPhone 5. The App store offers an update, but it doesn't do that, and it says that the version is not suitable for my phone.

There is also nowhere to tell how the functionality of the program's location is if you use VPN protection, for example F-secure's Freedome.",2,2018-03-14,,
Zoppaz,"NOTE EVERYONE: it really eats battery and a lot. I was surprised when the battery wears out so quickly and I thought that the phone is just getting so old that the battery has worn out. But then I remembered that I installed this program. After removal, the battery consumption is unchanged again. For some reason that battery consumption doesn't show up in the weapons section. But let everyone experience it for themselves. And if that increased battery consumption doesn't bother someone, then this is a great app. You never know when you'll need a blanket. But unusable for me like this.",1,2017-06-06,,
Oh7lzb,"The app requires location access at all times, and does not offer the normal option of only accessing location when the app is used (in case of emergency).

I don't want to give it 24/7 location access, it doesn't make any sense. It only has reasonable need for it when I'm using the app.",1,2015-11-19,,
Ville R.,"Now add an option for location services to Use location ""only when using the app"". Now the options are ""always"" or ""never"" and if you don't give the right to use location information even when the app is not running, the app won't work as it should.",1,2016-02-13,,
Sepeteus1,There is a bug here recently. Eating in the background in the last 24h 21% of the battery capacity.,1,2023-02-01,,
Olli_79,"2 updates ago something changed, the app takes a lot of battery. In the settings of the handset, the battery shows a full bar in light blue every hour, and according to the list, this particular application has been in the background the whole time.",1,2023-01-30,,
somalinkaataja420,Didn't bring anything when I called,1,2023-01-25,,
DivJ,"Very basic things like filtering danger notices still need to be done. I don't really want notifications from traffic bulletins, but danger bulletins must be displayed.

Now, because of the traffic bulletin spam, it is necessary to turn off the bulletins completely and in practice rely on e.g. YLE.",2,2022-12-12,,
Trnoi7475,McMillan is the time,5,2022-03-28,,
mimulimu,"The app is really good!
It would also be good if the application shows the nearest public shelter if you can't find it in your own apartment. Or larger underground shelters like in schools, etc. And possibly also a route that leads there safely. My street has been in the same place for over 30 years",5,2022-03-02,,
Eitähänkelpaamikäännimi,We got lost in the fells when a blizzard caught us by surprise. The 112 application saved and the emergency center got our coordinates directly with the help of the application. I recommend downloading.,1,2022-02-26,,
Vaeltaja15,"'Show location on the map' function should open to the terrain map. A lost person would be able to get back on the map, and would not necessarily need the help of the emergency services.",5,2022-01-11,,
rinkkahiippari,Does not load on my iPhone,4,2021-03-15,,
taksijukka,Nice,1,2021-08-19,,
higugy576,"Why did the application want permission to use my health information, health app?",5,2021-08-12,,
Turmio,"Calls an emergency call immediately as a pocket call, if the phone's screen unlocks in the pocket. No use to everyone; better to remove the app from the phone when making an emergency call is easy anyway.",1,2021-08-09,,
psla,"Good app! Fortunately, I haven't had to call the emergency center once, but it certainly helps in a moment of need. And you can turn off the application's danger notifications, the location can only work when using the application. Lovely!",1,2021-06-25,,
Taistelukala,In English version would be appreciated.,5,2021-04-13,,
1579463285,"I just started using it, takes battery, sure good in a real situation (location works 👍🏻)",5,2021-03-14,,
UwUcatUwU,"The application has started sending a disproportionate number of push notifications recently. At least once a week, often more. Not once have they been topical. The latest test notifications of a system. I would hope for some sense of proportionality from the developers regarding these. Now I'm going to turn off notifications at the operating system level, so I won't be reached by them in the future. I've made one emergency call in the last three years, and then the positioning seemed to work.",4,2020-07-22,,
Tiskiharja,It's been a lot of pointless wolf-crying with this App lately. I can't bear to listen when my father-in-law keeps yelling about a test or some other urgent problem. Customers turn off the taps and the entire emergency bulletin suddenly stops working. Now stop spamming with useless pushes.,2,2021-02-11,,
Uva Kikko,"When a notification about a danger bulletin appears on the home screen, pressing it should definitely redirect you directly to the bulletin and not to the main page of the application. In addition, the bulletins that contain the notification do not always appear in the bulletins at all.",1,2021-02-11,,
MiquelFIN,"A convenient application, but there are infuriating useless notifications almost every day. I don't have a Telia subscription, but I constantly get notifications from the application about Telia's outages related to emergency SMS services.",2,2021-02-09,,
Rmatnie,Every day there is a notification about Telia's outage.,1,2021-02-09,,
vahvakarhu,My father-in-law sent a mobile phone alert at 02:30 on a weekday night. Told that the mobile phone operator has a maintenance break in the service. It's nice to know this at three in the morning. 👍,1,2021-02-09,,
Kermamorjens,"I didn't manage to add the phone number because apparently the keyboard covered the button that would have led to the next step. I have a small screen on my phone (iPhone SE), but it probably shouldn't prevent the app from being used.",2,2021-01-27,,
Epätoivoinen Ypäjältä,"Can the speaker be turned on from the app? It would make CPR easier if you are alone to help. You can do it with headphones, if you happen to be with it.",1,2020-10-31,,
Salvage army,"Other than that, a good and necessary application in all respects. But it's not always possible to make an emergency call, so a text message option or similar would be a good addition to the application",4,2020-07-12,,
unelmis,"This is good because if, for example, you're lost and you don't know what it is, you can just call here",4,2020-01-27,,
llydi,"The announcements from the authorities don't come through as a notification, even if the settings allow it ",5,2020-05-31,,
Saaripela,"Hello! Absolutely great app, luckily haven't had to try calling yet.
I was just saying that it would be great if the application in question could be made into a smart watch version.",1,2020-05-11,,
Antti J,It would be nice if the 112 button was red,5,2020-04-03,,
nakki sormi,Works well,4,2020-01-16,,
Ulvur10,"I have fixed this once, but now when I started it as a test, the father-in-law didn't know anything about its location. Just to adjust the location settings... Fortunately, I checked so that it wouldn't have come as a surprise in an emergency!",5,2020-01-24,,
Taantumus,The iPhone automatically transmits the location information of the emergency call to the emergency center according to the international standard (it's been tried). So you don't need this application on your phone at all.,4,2020-01-05,,
Jay-H,Battery consumption should be fixed!,1,2020-01-05,,
JayEights,"I once downloaded the application, but when I later deleted it, the application always automatically reloads back! so every time I deleted it immediately reloaded!! I can't get the application off my phone in any way",2,2019-11-13,,
himohamo,"The battery consumption problems were solved when I updated to iOS 13.2.2 version and the latest version 2.0.5 112 from Finland. Now the application works as it should, I can leave it open in the background again and I have always given it the right to the location, so that I can receive danger notifications based on my location if necessary.",1,2019-11-27,,
ToinenSami,"During the last 10 measurement periods, the application has been running in the background for 201 hours and consumes 30% of the battery
good application but it doesn't do anything if the battery is empty",5,2019-11-19,,
Pjylha,When running in the background it uses 21% of the battery! ( Iphone 8),3,2019-10-23,,
amlkaaaaprdaå,"If continuous positioning is turned on in the application, the application consumes an awful lot of battery! On my own, only the continuous positioning in the background consumed 33% of the battery. In practice, if before going to sleep there was more than 80% battery, in the morning there was less than 30% battery left and the reason for the consumption was this application! Otherwise, a good application, but the high power consumption made the application a piece of shit...",2,2019-11-11,,
oresEMED,"The battery of the new iPhone 11 Pro Max phone was drained overnight 20% -> 0% and when you look at the battery monitor, 112 programs had been running in the background every hour for 1 hour and consumed the battery in six hours so that the phone turns off. (There were no other programs at all draining the battery during the night) I have to turn off the positioning in the background and the background update, while these bugs came to this program. The program has not even been started, it has been turned off separately by swiping up from the program list.",1,2019-11-09,,
iSaeloe,"The application consumes too much battery in the new IOS version and had to be removed. It's a pity, but in an emergency it's better to be able to call on the phone. Why doesn't the developer take a stand?",1,2019-11-09,,
jokersailor,iOs 13 battery consumption is shocking with constant positioning.,1,2019-11-05,,
vhku123,"Ok idea, but the battery drains a day after the last update",2,2019-11-02,,
iPadisti,Good application but I deleted it because of the insane power consumption.,1,2019-11-01,,
gtejgvvg,Would be nice if this software was available. HOPEFULLY THE MEDIA WILL MENTION WHEN THIS CAN BE USED AGAIN!!!,1,2019-10-30,,
Blizzardi,"If you allow location rights for this, it will always drain the battery. 35% of the battery goes to background positioning. Poorly executed. So you should allow positioning only when using the application.",1,2019-10-26,,
Bazzer!?!,"In the latest version, the battery usage is extremely high if the constant location update is on. During the day, at least 25% of the battery is used in the background of 112.",2,2019-10-26,,
Paha-admin,"With iOS13, the application sucks power. During the night, 33% if positioning is always on, during ios12 it didn't do this.",3,2019-10-20,,
JVI-TKI,"With location information ""always on"", the app sends location information more than 800 times during 3 days. That is, almost every fifth minute. Not like this.

NOTE EVERYONE: Contrary to what is falsely claimed in the comments here, location information is REALLY being sent continuously even if you don't use the app! That's the only way regional hazard notices can work.

In addition, when making a normal emergency call without an app, the phones automatically send location information to the emergency center using AML, so this App is no longer needed to share the location.

The only benefit of this app is danger notifications, but even for that there is a built-in function maintained by Apple in Apple devices, if the Alarm Center would only realize to use it, and not waste money on maintaining this, at best, mediocre App.

Reasonable use of tax money.",1,2019-10-23,,
Zornac,"After the update, the application consumes the battery so that, according to the phone, it is the application that used the most battery. Previously there was no such problem.",2,2019-10-16,,
WizardFantasos,18% of the battery during one day from positioning in the background. It seems to be searching for that location a bit too actively.,1,2019-10-20,,
stelmine,Good basic idea and fortunately I have never had to use it! The usability of the app is eaten by the fact that at least this version uses 10% of the battery per day with its background activity.,1,2019-10-16,,
Killer13gu,Battery consumption increased in the last update and is now the biggest battery consumer in normal use even though it only works in the background.,2,2019-10-15,,
Jasutsi,"When this is installed, up to 80% of the battery usage goes to this software (background location), so no further until it is fixed.",5,2019-10-15,,
gulassi,"The application works in the background and has not been in active use. On the night between 13-14 October 2019, the battery of my iPhone 7 was completely discharged. According to the battery usage statistics, the biggest single user was 112 apps in the background! Thus, the alleged information that the background function does not increase the battery consumption is incorrect!",2,2019-10-14,,
Järki hoi!!!,"After the last update, the application consumes the battery significantly, even when the application is not used. Have to delete the app. (iPhone iOS 12.3.1)",1,2019-10-14,,
AnkkiB,"It's a really good thing, but what should you do if you're dumb but not deaf? Would it be impossible to somehow combine a text with which you could write about the situation?!
I mean it would get a full 5 stars from me, waiting for an answer. 🥵",1,2019-10-13,,
Artsi Boy,Why after iOS 13 does 112 Finland eat battery in the background (background chat) even though no one is even using the app?,3,2019-06-01,,
HiskiBoy,"Today I took the phone with 27% of the battery without even starting the whole program. I haven't noticed this before, but it doesn't seem good.

EDIT: removed the entire application, it's not funny when 40% of the battery charge is used up in four hours.",4,2019-10-13,,
tigeli,"After the last update of the application, background location and background activity are again taking a lot of battery. iPhone 11 in use and during the night the battery left tens of percent. It's unbelievable that something like this can't be fixed and the developer doesn't comment anything.",1,2019-10-13,,
draganFI,"I allowed the app to use location in the background. I noticed that the battery life was reduced after installing the app. So, I checked the battery information and during a normal day this application ate 44% of my total battery.
I would like to allow it using my location, but having it on would risk my phone running out of battery during the day.",1,2019-10-11,,
jokke_8361648,"Each time the program update is installed (the last one was on October 8, 2019), the program starts running continuously in the background. In the battery information this morning, for the last 16 hours, this program has been running in the background for 16 hours, and in the phone's battery information, the ""Display off"" bars are constantly full. Uninstalling the program and reinstalling it completely helps, but it's a really annoying bug.",2,2019-10-10,,
Visa Electron,"Really good app, but when I put the phone away, I noticed that it called the emergency number by itself. I didn't even touch the app until I put the phone away, so I hadn't accidentally called.",2,2019-10-09,,
emcaja,The link to the register statement according to the Personal Data Protection Act does not work! Is it an accident or on purpose?,1,2019-07-16,,
Zxyqwertyuiop,"How does it work on an ipad when there is no phone app on it?
Do I have to put the pad's sim card number or the phone number in the basic cell phone?",1,2019-06-19,,
Hekso55,Cannot update,1,2019-06-12,,
Montyfic,"After the last major update, the app has become much better and more practical. I recommend the app to everyone for emergencies.",3,2018-05-05,,
Paras pelaja,Helped me get quick help and get on with my life.,5,2019-02-03,,
Mydlink:(,"The links in the app store and the app don't work. Page not found. The app uses location data, but doesn't tell you what everything?",5,2019-01-28,,
Kukkahattutäti,Doesn't start in software version 8.1.2. Crashes into the background immediately. Older versions worked fine.,1,2018-10-07,,
66365353,"Really great that support has been restored!!!

""Big disappointment when the new version does not support the iPhone 5 model.""",1,2018-09-05,,
jasonen,"Important and good service. I would like text fields etc. for the information where you could save your own risk information like an SOS pass. As well as the possibility to save data if the person is disabled, deaf, etc.
I know from experience that when calling for help, one is not in the best cognitive state and these things can be forgotten.",5,2018-08-08,,
Riikkapirita,It would be good if the application had call confirmation to prevent wrong calls,5,2018-07-08,,
uuuuim,"The call in August was successful through this, similar to this. It only hangs on updates, programming error with iPhone 5, the same problem with Telia, EasyPark knew how to fix it. iPhone 5 is the latest version that Apple updates to 10.3.3. The update informs you to update when you update, so the next time you will be in the initial state. Won't update and won't go away!?

Very important *****+ when it works! Must be made available to everyone.

In an emergency, you don't always know and remember the address. I know that I am, for example, highway 12 somewhere between Lahti and Tampere, am I? Was it Hauho or what?

In the future, there has been talk about getting a photo and video included, well not an easy thing, it will probably take years!?",3,2018-04-30,,
Karppa54,"..which you can't even install, because the phone is not quite new. Despite the latest possible version downloaded just through the update, the new one is immediately offered again - the version that cannot be guessed.

What's the point?",3,2018-03-03,,
Klbygkl,"The application has become available, in this case you can say that unfortunately. But it was useful when help got there faster!

Although now the AppStore says that it should be updated, but when downloading, the AppStore says that the new version is not compatible with this iOS...",1,2018-04-23,,
JesseJames1983,"Nelone's iPad is only four years old, so not very old, but you can't get a new operating system version for it anymore.

This app wants to update but says that it is not compatible with the old version. You have to remove the app from disturbing you. I'm complaining!",4,2018-03-04,,
Vepsukene,"I installed the program and it asked right at the beginning if I allow localization. There were three options 1. When the application is running, 2. Always 3. Never. In addition, you had to give a phone number and the matter was clear.",3,2018-02-16,,
Jelehakas,"If you changed the icon to a more edgy color, it would be easier to find among other apps also in an emergency, for example in the middle of an illness, when your brain is not on and you are panicking when you try to call yourself for help.",5,2018-02-19,,
Neljänkoululaisenäiti,Calling works well through the app but there haven't really been any emergencies!,3,2016-11-15,,
Lenkki1224,"When the government orders Apps or does nothing at all, the chance of getting value for the taxpayers' money is close to zero. So it's no wonder that this app is also complete crap.",5,2017-08-04,,
Sami Anttila,"The one time I've had to use the program, it told the right place to the emergency center and help was received.",1,2017-07-25,,
Agioptr,Impossible to use with VoiceOver.,4,2017-07-05,,
Kissanainen85,It's rare to see such an inferior application in the AppStore. I am speechless.,1,2017-04-27,,
Mar-kus,"Only locates when the application is on/in the background. If you close the app, location is not used. Idiots 😂😂😂",1,2017-04-08,,
Viljus,"The ambulance came to the right place when I got hurt, otherwise it would have been difficult to explain the location. The pain was enormous and every minute won was important.",5,2017-02-19,,
juhamo,"Very good, but is it possible to press the call button 112 and the positioning will turn on immediately",5,2017-02-15,,
Kille6v,"This program needs to get a point that it searches the location ONLY when using the program, now the options No and Always!!, what a joke will it be located if you put it on all the time?",4,2016-05-18,,
K@rtsa,Awesome idea🙂,1,2016-10-24,,
Modio17395,Useful in emergency situations.,5,2016-09-05,,
Maksajan,"It's sad that the choice is either location services always on or never. Where is the option that only when using the program??? Always on consumes the battery and takes away privacy, the never option can be life-threatening in an emergency, if every second is important, and in a crisis you can't turn on location permission in the device settings!",5,2016-06-17,,
Jettäsillai,"Hi,
Why are there no emergency numbers and opening hours for the nearest health center?

Why is there no health advice number and opening hours - because the matter has often been solved that way and it hasn't even been necessary to go to the doctor's office to guess.

YT MK",1,2016-06-04,,
MasterMarko,"The use of positioning should have its own settings and not just be on all the time by default. Positioning is inaccurate indoors. For example, this is why entering your home address into the application would be important, why isn't that feature there? As an example, for example, an elderly person who has an accident or a seizure in his own home, or if he does not have time to tell his address due to a sudden threat encountered at home (domestic violence, disturbing the peace at home...). This would be very simple to solve, developers. In its current form, the application is almost useless. How much did the Estonian developers bill the government for this too?",2,2016-03-18,,
Post-man lady,"Good idea, but unusable implementation due to battery consumption.",1,2016-04-01,,
JouniMikkola,"The location must be on all the time, why not only when in use?",1,2016-05-14,,
Torttu.fi,"Why does it use the location all the time?! Edit this so that it doesn't always use the location, only when using the application, then you can earn at least 3 stars from the reviews, maybe even 4😡👎👎👎👎👎👎👎",1,2016-03-03,,
Mikjohan,"Hi Digia, the software needs an update to IOS 9. Now the screen will show a bird's eye view.",1,2016-02-13,,
Marttah,"In order to save the battery of the mobile device, it would be important that location information is retrieved only when it is necessary. That is, only when the program is in use. Such an additional feature, thank you!",3,2015-09-23,,
AmoK_,It consumes power from the battery quite quickly. Otherwise good.,2,2016-02-12,,
Tissiposki,Gps positioning needs to be changed so that it only uses location data when the application is open.,4,2016-01-22,,
hoe666,"Softa seems good and certainly does what it says. It's nice to think that he gets information about the location if he doesn't know it himself or can tell... Then it's mandatory but...

Softa hangs a bit unnecessarily actively on the GPS and this consumes the battery. You can't choose from the settings to update the location at a specified time interval or only when the program is open... Now it feels like the program updates the location all the time... As if the battery capacity is too much

Because of this, I mostly think of deleting the software because if you are on a trip, it would be nice to be able to call the emergency center there and not see when the software has sucked the battery dry...

In addition, I was thinking that the software could not send the location to the emergency center by text message and not by data connection? The information would be delivered more reliably... So this is when you call there... Not just to be sure...

So development is still required before this can be called good... The idea is great.",1,2015-10-06,,
Ravenis,Suspicious app! Requires your phone number and locates continuously! I don't recommend using it!,2,2015-07-07,,
Sami_sam88,"The texts and numbers in the application have changed to Russian characters, what happened...",1,2015-07-06,,
Swiiks,"It's completely fine, after downloading strange characters, even entering my own number doesn't work, strange letters appear on the screen instead of numbers!",1,2015-10-04,,
Timsi56,"It asks for a phone number and when I try it to write, only Cyrillic alphabets will be used instead of numbers. Ok",1,2015-10-01,,
Kakkakekki,Totally bullshit. The text doesn't work. I don't recommend downloading. Deleted,1,2015-09-30,,
# Paskaa tuutintäydeltä,"The application shows Cyrillic characters etc. and you can't understand the texts. You can't even enter a phone number, because the number key doesn't produce a number, but some other characters.",1,2015-09-30,,
Coffeecafekahvi,"In connection with the update, the 112 application became Russian, quick fix!",1,2015-09-29,,
Esahaapak,"All the texts in the application are ""pig German"".",1,2015-09-29,,
steelduck,"The characters became amazing after the iOS9 update, nothing to interpret. ",2,2015-09-29,,
Hepreaa,The numbers are just a mess.,1,2015-09-27,,
Partanaama,"Why on earth has the language changed to Hebrew? Tried reinstalling and everything, but the language is still something other than Finnish... Otherwise, it's definitely very convenient!",1,2015-09-23,,
Linduck,Why does this show it as Russian even though I'm actually in Finland?,3,2015-09-22,,
Okkmies,It doesn't work at all. Some of the texts are exclamation marks. Even writing one's own number produces rubbish,2,2015-09-19,,
Vggcdccdvvvh,in connection with the iOS9 update (also in this program) the language (characters) became unrecognizable-coordinates make no sense. Great Apple!,1,2015-09-22,,
Josamiidel,Strange.,1,2015-09-22,,
aatte,Presumably a working application (fortunately there has not been a situation where you could properly test it) but a bit unfinished. Visually quite harsh and possibly increases the risk of accidentally calling the emergency number. Many seem to complain that positioning is always on. Location is only on if the app is in use or is running in the background. Close the app and the location will also be turned off. It is understandable that the app sends the location even though it is in the background.,1,2015-09-20,,
Nuvi_FIN,"Location when making an emergency call saves at least seconds, but at best minutes.
A feature of the application that left the positioning constantly on has been fixed; positioning is lost approx. 5 seconds after closing the application.
It's definitely worth downloading.",3,2015-06-24,,
Mosruio,Application removed,5,2015-08-19,,
Dig_it3,I called Vaasa's emergency center with this program. And they didn't get any location data on their screen.,1,2015-08-15,,
Sinkku,"I strongly believe that this program seriously works if anyone has an emergency! This battery consumption
The update is fixed and the positioning is
Improved!

It still started to surprise me that if someone
My line would break into my house and I would press that
Click on the one that calls 112 like that
I wonder if the help will come to the right place
To the house?",1,2015-07-29,,
Pelaaja X,"I haven't come across a situation where I needed to use the program, but I think it works",5,2015-07-08,,
Pirjo77,"A really unfinished looking piece; the user interface and the font do not scale in any way according to the screen size (e.g. on an iPhone 6 plus it looks absolutely terrible).

You cannot choose the coordinate system yourself, so this application would be useful for more than just emergencies.

The application wants to use the location even when it is not in the foreground. Why? And promise to tell the reason in English when asking about this. Why? Of course, almost everyone knows the language this well, but it is nevertheless an application intended for very local use.

The only positive is the ease of calling other emergency numbers, such as the poison control center. Would it be possible to develop that positioning only when using the program? Otherwise a good application",4,2015-07-07,,
Tchort,"I updated to a newer version, and the phone number has to be entered again? You're not serious? In case of an emergency, do I start entering the number? What if there is a new number? Go to yourself.",2,2015-07-05,,
MaruzaF,"It works and doesn't leave geps on as long as you turn off the software properly, learn to close the background programs properly..",2,2015-06-30,,
tr1st4m,You can remove the location when you don't use the program. Please update this.,1,2015-06-28,,
Kulemam,It burns the battery and like the iPhone 5s my phone has a very short battery so that's it goes 0% in 5 min,4,2015-06-25,,
Jaccana,"Working idea. The amateur-like picture comes right from the first screenshot when the minus sign is in front of the degrees and the angle is >180.. so -180 and tonsils from east longitude, i.e. +180 and tonsils from west.. so really a little less than 180 east?
The option ""while in use"" is missing from the positioning settings.",2,2015-06-24,,
Kakemlg420,I managed to accidentally call the emergency center at the same time. And there was no way I could cancel the call. I hope the real help doesn't go to waste because of this crappy app!,1,2015-06-24,,
Bestah88,"The interface is weird for an iOS app. And unfinished.

The fact that the GPS is on also seems unclear. If the software is in the background, does it always send the location to the servers, even if it doesn't call the cage?",3,2015-06-22,,
Vihainen lokki,"I installed the application for the whole family, definitely a good tool. It helps tremendously, for example, when calling for help at the scene of an accident or when injured on a geocaching trip.

The location really stays on and eats up the battery very quickly, especially in older phones. Of course, this is not a big problem in practice, as we all hope to never need the app. After the first launch, it is important to close the application, exiting it is not enough. This bug should be fixed soon, because at worst, the application made to make it easier to get help prevents it when the battery is completely empty.",1,2015-06-23,,
Nadrak,"Definitely necessary application but technically weak performance. The application should be located only when it is in use, not constantly in the background.",2,2015-06-23,,
Tskii79,"Why is the WGS coordinate system used when the ETRS-TM35FIN coordinate system has been used in Finland since 2005? No history, let's live in the present.",3,2015-06-21,,
AntonBoer,"When Appsin closes, it doesn't locate. It looks good.",2,2015-06-22,,
Älä päivitä,The employees of the regional emergency center don't give a damn about where I'm moving at any time.,2,2015-06-22,,
Autopeli,You could add your own to the emergency numbers section in the software,5,2015-06-21,,
Asiantuntija,"For removal. At least long enough for the location usage to stop, with the app running in the background.",2,2015-06-19,,
Omainen,"Good idea, bad idea. The setting ""location when using"" is missing from the settings. I removed...",3,2015-06-18,,
oneiceman,It would be good to have a test button.,1,2015-06-19,,
Miihkali,"The number of false calls can increase if small children get their hands on a cell phone and accidentally open the application and call. So some confirmation would be good. Now I don't want to test the application, lest I call the emergency center.

A slider for enabling location data would also be handy.

It's also good that other ""emergency numbers"" can be found in the application.",1,2015-06-19,,
High blod pressure,It makes no sense to require the use of positioning constantly. Unusable as such when it eats up the battery far too quickly. It could be good if positioning is enabled only when using the application.,4,2015-06-18,,
Eiaro,"Quite large software considering its functions. The location update that is constantly running in the background consumes the battery unnecessarily. The user interface and usability are completely contrary to the iOS world (only the mouse pointer is missing). The idea in the software is good, but it requires better planning and implementation.",2,2015-06-18,,
raminm,Positioning on all the time. It consumes a lot of battery. I don't enable it.,1,2015-06-18,,
Kirjiz,"Yes, at least I can turn off the location when I close the application 😉 you just don't know how",1,2015-06-18,,
Pekanpk,"The application wants to constantly locate your location, that is, even when the phone or the application is not even used!! I immediately removed this spy app.",1,2015-06-18,,
Murinaaaaaaaa,Very good and simple app. Location doesn't stay on in the background when you close the app.,5,2015-06-18,,
X4nttu,Uses battery unnecessarily,1,2015-06-18,,
dingkong,"Uses location all the time, battery drains quickly.",5,2015-06-18,,
Manbearpig.,"why does the location information have to be available all the time, and not only when using it?",1,2015-06-18,,
kuokka82,So the battery drains in the eyes. Shouldn't it be worth coding the use of positioning only when using the application?,1,2015-06-18,,
- emma -,,2,2015-06-17,,
tth78,,1,2015-06-17,,
